Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.2129645545741526,92.07003089598352,0.07886772395014902,97.78296382730454
2,0.059279677131425214,98.14624098867148,0.06337947806815075,98.24970828471412
3,0.03860424109518789,98.86714727085479,0.06290096173317214,98.36639439906651
4,0.01212005959756588,99.71163748712667,0.04142093219302047,98.94982497082847
5,0.022188299288781386,99.38208032955716,0.05994800370715802,98.59976662777129
6,0.01962387725580426,99.44387229660144,0.05240083338291783,98.36639439906651
7,0.004382038494163451,99.91761071060762,0.02899761889086408,99.29988331388564
8,0.0017684673789672095,99.9794026776519,0.0298074431551127,99.29988331388564
9,0.002879733083536249,99.89701338825952,0.02850226480502944,99.41656942823805
10,0.0009044018594500629,100.0,0.02239253963688834,99.41656942823805
